front|back|tags
Was ist die Fourier-Transformation und ihre Inverse? (Grundlagen)|"<b>Zweck:</b> Die Fourier-Transformation zerlegt eine Funktion <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo></math> aus dem Zeitbereich in ihre Frequenzkomponenten <math><mi>F</mi><mo>(</mo><mi>ω</mi><mo>)</mo></math> im Frequenzbereich.<br><br><b>Formel (Fourier-Transformation):</b><br><math display=""block""><mi>F</mi><mo>(</mo><mi>ω</mi><mo>)</mo><mo>=</mo><msubsup><mo>∫</mo><mrow><mo>-</mo><mi>∞</mi></mrow><mi>∞</mi></msubsup><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><msup><mi>e</mi><mrow><mo>-</mo><mi>i</mi><mi>ω</mi><mi>t</mi></mrow></msup><mi>d</mi><mi>t</mi></math><br><b>Formel (Inverse Fourier-Transformation):</b><br><math display=""block""><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mn>2</mn><mi>π</mi></mrow></mfrac><msubsup><mo>∫</mo><mrow><mo>-</mo><mi>∞</mi></mrow><mi>∞</mi></msubsup><mi>F</mi><mo>(</mo><mi>ω</mi><mo>)</mo><msup><mi>e</mi><mrow><mi>i</mi><mi>ω</mi><mi>t</mi></mrow></msup><mi>d</mi><mi>ω</mi></math>"|course:math-fourier-analysis-001 material:fourier-lecture-05 page:13 Fourier-Transformation Inverse-FT Definition
Erkläre die Parseval-Identität und ihre Bedeutung. (Energieerhaltung)|"<b>Definition (Parseval-Identität):</b><br>Die Identität besagt, dass die Gesamtenergie oder Leistung einer Funktion im Zeitbereich proportional zur Gesamtenergie oder Leistung ihrer Fourier-Transformierten im Frequenzbereich ist.<br><br><math display=""block""><msubsup><mo>∫</mo><mrow><mo>-</mo><mi>∞</mi></mrow><mi>∞</mi></msubsup><msup><mrow><mo>|</mo><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>|</mo></mrow><mn>2</mn></msup><mi>d</mi><mi>t</mi><mo>=</mo><frac><mn>1</mn><mrow><mn>2</mn><mi>π</mi></mrow></mfrac><msubsup><mo>∫</mo><mrow><mo>-</mo><mi>∞</mi></mrow><mi>∞</mi></msubsup><msup><mrow><mo>|</mo><mi>F</mi><mo>(</mo><mi>ω</mi><mo>)</mo><mo>|</mo></mrow><mn>2</mn></msup><mi>d</mi><mi>ω</mi></math><br><b>Bedeutung:</b><br><ul><li>Sie drückt die <b>Energieerhaltung</b> aus, d.h. die Energie ist unabhängig davon, ob man die Funktion im Zeit- oder Frequenzbereich betrachtet.</li><li>Wichtig für die Analyse von Signalen und Systemen.</li></ul>"|course:math-fourier-analysis-001 material:fourier-lecture-05 page:13 Parseval-Identität Energie Eigenschaft
Was ist die Faltung und der Faltungssatz der Fourier-Transformation? (Operationen)|"<b>Definition (Faltung):</b><br>Die Faltung zweier Funktionen <math><mi>f</mi></math> und <math><mi>g</mi></math> ist eine mathematische Operation, die die Form der einen Funktion modifiziert, basierend auf der anderen.<br><br><math display=""block""><mo>(</mo><mi>f</mi><mo>*</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><msubsup><mo>∫</mo><mrow><mo>-</mo><mi>∞</mi></mrow><mi>∞</mi></msubsup><mi>f</mi><mo>(</mo><mi>τ</mi><mo>)</mo><mi>g</mi><mo>(</mo><mi>t</mi><mo>-</mo><mi>τ</mi><mo>)</mo><mi>d</mi><mi>τ</mi></math><br><b>Faltungssatz (Fourier-Transformation):</b><br>Die Fouriertransformierte einer Faltung im Zeitbereich ist das Produkt der einzelnen Fourier-Transformierten im Frequenzbereich.<br><br><math display=""block""><mi>F</mi><mo>[</mo><mi>f</mi><mo>*</mo><mi>g</mi><mo>]</mo><mo>=</mo><mi>F</mi><mo>[</mo><mi>f</mi><mo>]</mo><mo>⋅</mo><mi>F</mi><mo>[</mo><mi>g</mi><mo>]</mo></math><br><b>Anwendung:</b> Vereinfacht komplexe Faltungsoperationen durch Multiplikation im Frequenzbereich."|course:math-fourier-analysis-001 material:fourier-lecture-05 page:13 Faltung Faltungssatz Theorem Eigenschaft
Wie berechnet man Fourier-Koeffizienten für periodische Funktionen? (Fourier-Reihe)|"<b>Kontext:</b> Die Fourier-Koeffizienten <math><msub><mi>c</mi><mi>n</mi></msub></math> werden für <b>periodische Funktionen</b> <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo></math> (mit Periode <math><mi>T</mi></math>) verwendet, um diese als Fourier-Reihe darzustellen.<br><br><b>Definition (Fourier-Koeffizienten):</b><br><ul><li>Für eine periodische Funktion <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><msubsup><mo>∑</mo><mrow><mi>n</mi><mo>=</mo><mo>-</mo><mi>∞</mi></mrow><mi>∞</mi></msubsup><msub><mi>c</mi><mi>n</mi></msub><msup><mi>e</mi><mrow><mi>i</mi><mi>n</mi><msub><mi>ω</mi><mn>0</mn></msub><mi>t</mi></mrow></msup></math> mit <math><msub><mi>ω</mi><mn>0</mn></msub><mo>=</mo><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mi>T</mi></mfrac></math> gilt:</li><li><math display=""block""><msub><mi>c</mi><mi>n</mi></msub><mo>=</mo><mfrac><mn>1</mn><mi>T</mi></mfrac><msubsup><mo>∫</mo><mn>0</mn><mi>T</mi></msubsup><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><msup><mi>e</mi><mrow><mo>-</mo><mi>i</mi><mi>n</mi><msub><mi>ω</mi><mn>0</mn></msub><mi>t</mi></mrow></msup><mi>d</mi><mi>t</mi></math></li></ul><b>Unterschied zur Fourier-Transformation:</b><br><ul><li>Fourier-Koeffizienten beschreiben <b>diskrete Frequenzanteile</b> von periodischen Funktionen.</li><li>Die Fourier-Transformation beschreibt ein <b>kontinuierliches Frequenzspektrum</b> für nicht-periodische Funktionen.</li></ul>"|course:math-fourier-analysis-001 material:fourier-lecture-05 page:13 Fourier-Koeffizienten Fourier-Reihe Periodische Funktionen
Was ist ein lineares DGL-System erster Ordnung und wie lautet seine allgemeine Lösung? (DGL-Systeme)|<b>Definition:</b> Ein lineares DGL-System erster Ordnung hat die Form <math display='inline'><mrow><mover accent='true'><mi>x</mi><mo>˙</mo></mover><mo>=</mo><mi>A</mi><mi>x</mi><mo>+</mo><mi>b</mi></mrow></math>, wobei <math display='inline'><mrow><mi>A</mi><mo>&#x2208;</mo><msup><mo>&#x211D;</mo><mrow><mi>n</mi><mo>&#x00D7;</mo><mi>n</mi></mrow></msup></mrow></math>, <math display='inline'><mrow><mi>x</mi><mo>:</mo><mo>&#x211D;</mo><mo>&#x2192;</mo><msup><mo>&#x211D;</mo><mi>n</mi></msup></mrow></math> und <math display='inline'><mrow><mi>b</mi><mo>:</mo><mo>&#x211D;</mo><mo>&#x2192;</mo><msup><mo>&#x211D;</mo><mi>n</mi></msup></mrow></math>.<br><br><b>Allgemeine Lösung:</b><ul><li>Für <b>inhomogene Systeme</b> (<math display='inline'><mrow><mi>b</mi><mo>&#x2260;</mo><mn>0</mn></mrow></math> - Variation der Konstanten):<br><math display='block'><mrow><mi>x</mi><mo stretchy='false'>(</mo><mi>t</mi><mo stretchy='false'>)</mo><mo>=</mo><msup><mi>e</mi><mrow><mi>A</mi><mi>t</mi></mrow></msup><msub><mi>x</mi><mn>0</mn></msub><mo>+</mo><munderover><mo>&#x222B;</mo><mn>0</mn><mi>t</mi></munderover><msup><mi>e</mi><mrow><mi>A</mi><mo stretchy='false'>(</mo><mi>t</mi><mo>-</mo><mi>s</mi><mo stretchy='false'>)</mo></mrow></msup><mi>b</mi><mo stretchy='false'>(</mo><mi>s</mi><mo stretchy='false'>)</mo><mi>d</mi><mi>s</mi></mrow></math></li><li>Für <b>homogene Systeme</b> (<math display='inline'><mrow><mi>b</mi><mo>=</mo><mn>0</mn></mrow></math> - Fundamentallösung):<br><math display='block'><mrow><mi>x</mi><mo stretchy='false'>(</mo><mi>t</mi><mo stretchy='false'>)</mo><mo>=</mo><msup><mi>e</mi><mrow><mi>A</mi><mi>t</mi></mrow></msup><msub><mi>x</mi><mn>0</mn></msub></mrow></math></li></ul>Die Lösung hängt zentral von der <b>Matrixexponentialfunktion</b> <math display='inline'><mrow><msup><mi>e</mi><mrow><mi>A</mi><mi>t</mi></mrow></msup></mrow></math> ab.|course:math-differential-equations-001 material:dgl-lecture-06 page:8 Lineare DGL Systeme Fundamentallösung Variation der Konstanten
Was ist die Matrixexponentialfunktion <math display='inline'><mrow><msup><mi>e</mi><mrow><mi>A</mi><mi>t</mi></mrow></msup></mrow></math> und wie berechnet man sie, insbesondere für 2x2 Systeme? (Matrixexponentialfunktion)|<b>Definition:</b> Die Matrixexponentialfunktion ist definiert als die unendliche Reihe:<br><math display='block'><mrow><msup><mi>e</mi><mrow><mi>A</mi><mi>t</mi></mrow></msup><mo>=</mo><munderover><mo>&#x2211;</mo><mrow><mi>k</mi><mo>=</mo><mn>0</mn></mrow><mo>&#x221E;</mo></munderover><mfrac><mrow><msup><mrow><mo stretchy='false'>(</mo><mi>A</mi><mi>t</mi><mo stretchy='false'>)</mo></mrow><mi>k</mi></msup></mrow><mrow><mi>k</mi><mo>!</mo></mrow></mfrac></mrow></math><br><b>Berechnung über Eigenwerte/-vektoren (Diagonalisierung):</b><br>Dies ist oft der praktischste Weg, insbesondere für diagonalisierbare Matrizen.<br><ul><li><b>Schritt 1:</b> Finde die <b>Eigenwerte</b> <math display='inline'><mrow><msub><mo>&#x03BB;</mo><mi>i</mi></msub></mrow></math> und <b>Eigenvektoren</b> <math display='inline'><mrow><msub><mi>v</mi><mi>i</mi></msub></mrow></math> der Matrix <math display='inline'><mrow><mi>A</mi></mrow></math>.</li><li><b>Schritt 2:</b> Bilde die <b>Transformationsmatrix</b> <math display='inline'><mrow><mi>P</mi></mrow></math> aus den Eigenvektoren als Spalten und berechne <math display='inline'><mrow><msup><mi>P</mi><mrow><mo>-</mo><mn>1</mn></mrow></msup></mrow></math>.</li><li><b>Schritt 3:</b> Erstelle die <b>Diagonalmatrix</b> <math display='inline'><mrow><mi>D</mi></mrow></math> mit den Eigenwerten auf der Diagonale:<br><math display='block'><mrow><mi>D</mi><mo>=</mo><mrow><mo stretchy='true'>[</mo><mrow><mtable><mtr><mtd><mrow><msub><mo>&#x03BB;</mo><mn>1</mn></msub></mrow></mtd><mtd><mn>0</mn></mtd></mtr><mtr><mtd><mn>0</mn></mtd><mtd><mrow><msub><mo>&#x03BB;</mo><mn>2</mn></msub></mrow></mtd></mtr></mtable></mrow><mo stretchy='true'>]</mo></mrow></mrow></math></li><li><b>Schritt 4:</b> Berechne <math display='inline'><mrow><msup><mi>e</mi><mrow><mi>D</mi><mi>t</mi></mrow></msup></mrow></math> (einfach <math display='inline'><mrow><msup><mi>e</mi><mrow><msub><mo>&#x03BB;</mo><mi>i</mi></msub><mi>t</mi></mrow></msup></mrow></math> auf der Diagonale):<br><math display='block'><mrow><msup><mi>e</mi><mrow><mi>D</mi><mi>t</mi></mrow></msup><mo>=</mo><mrow><mo stretchy='true'>[</mo><mrow><mtable><mtr><mtd><mrow><msup><mi>e</mi><mrow><msub><mo>&#x03BB;</mo><mn>1</mn></msub><mi>t</mi></mrow></msup></mrow></mtd><mtd><mn>0</mn></mtd></mtr><mtr><mtd><mn>0</mn></mtd><mtd><mrow><msup><mi>e</mi><mrow><msub><mo>&#x03BB;</mo><mn>2</mn></msub><mi>t</mi></mrow></msup></mrow></mtd></mtr></mtable></mrow><mo stretchy='true'>]</mo></mrow></mrow></math></li><li><b>Schritt 5:</b> Die Matrixexponentialfunktion ist dann:<br><math display='block'><mrow><msup><mi>e</mi><mrow><mi>A</mi><mi>t</mi></mrow></msup><mo>=</mo><mi>P</mi><msup><mi>e</mi><mrow><mi>D</mi><mi>t</mi></mrow></msup><msup><mi>P</mi><mrow><mo>-</mo><mn>1</mn></mrow></msup></mrow></math></li></ul>|course:math-differential-equations-001 material:dgl-lecture-06 page:8 Matrixexponentialfunktion Eigenwerte Diagonalisierung
Wie lautet die Lösung eines homogenen 2x2 DGL-Systems <math display='inline'><mrow><mover accent='true'><mi>x</mi><mo>˙</mo></mover><mo>=</mo><mi>A</mi><mi>x</mi></mrow></math> mit Eigenwerten <math display='inline'><mrow><msub><mo>&#x03BB;</mo><mn>1</mn></msub><mo>,</mo><msub><mo>&#x03BB;</mo><mn>2</mn></msub></mrow></math> und zugehörigen Eigenvektoren <math display='inline'><mrow><msub><mi>v</mi><mn>1</mn></msub><mo>,</mo><msub><mi>v</mi><mn>2</mn></msub></mrow></math>? (Lösung DGL-Systeme)|Für ein homogenes 2x2 DGL-System <math display='inline'><mrow><mover accent='true'><mi>x</mi><mo>˙</mo></mover><mo>=</mo><mi>A</mi><mi>x</mi></mrow></math> mit zwei unterschiedlichen (reellen oder komplexen) <b>Eigenwerten</b> <math display='inline'><mrow><msub><mo>&#x03BB;</mo><mn>1</mn></msub><mo>,</mo><msub><mo>&#x03BB;</mo><mn>2</mn></msub></mrow></math> und den entsprechenden <b>Eigenvektoren</b> <math display='inline'><mrow><msub><mi>v</mi><mn>1</mn></msub><mo>,</mo><msub><mi>v</mi><mn>2</mn></msub></mrow></math> lautet die <b>allgemeine Lösung</b>:<br><math display='block'><mrow><mi>x</mi><mo stretchy='false'>(</mo><mi>t</mi><mo stretchy='false'>)</mo><mo>=</mo><msub><mi>c</mi><mn>1</mn></msub><msup><mi>e</mi><mrow><msub><mo>&#x03BB;</mo><mn>1</mn></msub><mi>t</mi></mrow></msup><msub><mi>v</mi><mn>1</mn></msub><mo>+</mo><msub><mi>c</mi><mn>2</mn></msub><msup><mi>e</mi><mrow><msub><mo>&#x03BB;</mo><mn>2</mn></msub><mi>t</mi></mrow></msup><msub><mi>v</mi><mn>2</mn></msub></mrow></math><br>Dabei sind <math display='inline'><mrow><msub><mi>c</mi><mn>1</mn></msub></mrow></math> und <math display='inline'><mrow><msub><mi>c</mi><mn>2</mn></msub></mrow></math> Konstanten, die durch die <b>Anfangsbedingungen</b> (<math display='inline'><mrow><mi>x</mi><mo stretchy='false'>(</mo><mn>0</mn><mo stretchy='false'>)</mo><mo>=</mo><msub><mi>x</mi><mn>0</mn></msub></mrow></math>) bestimmt werden.<br>Diese Formel ist eine direkte Anwendung des Konzepts der <b>Matrixexponentialfunktion</b> über Diagonalisierung, da <math display='inline'><mrow><msup><mi>e</mi><mrow><mi>A</mi><mi>t</mi></mrow></msup><msub><mi>x</mi><mn>0</mn></msub></mrow></math> sich in diese Form entwickeln lässt, wenn <math display='inline'><mrow><msub><mi>x</mi><mn>0</mn></msub></mrow></math> als Linearkombination der Eigenvektoren ausgedrückt wird.|course:math-differential-equations-001 material:dgl-lecture-06 page:8 Lineare DGL Systeme Eigenwerte Homogene Systeme
Lagrange-Funktion: Definition und Aufbau (Lagrange-Multiplikatoren)|<b>Definition:</b> Die Lagrange-Funktion <math><mi>L</mi><mo>(</mo><mi>x</mi><mo>,</mo><mi>λ</mi><mo>)</mo></math> ist ein Hilfsmittel, um Extremwerte einer Funktion <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></math> unter der Nebenbedingung <math><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn></math> zu finden.<br><b>Aufbau (eine Nebenbedingung):</b><ul><li><math><mi>L</mi><mo>(</mo><mi>x</mi><mo>,</mo><mi>λ</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>-</mo><mi>λ</mi><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo></math></li></ul>Dabei ist <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></math> die Zielfunktion, <math><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn></math> die Nebenbedingung und <math><mi>λ</mi></math> der Lagrange-Multiplikator.|course:math-optimization-001 material:optimization-lecture-03 page:7 Lagrange-Multiplikatoren
Notwendige Bedingungen für Extremum (Lagrange-Multiplikatoren)|<b>Für ein Extremum <math><msup><mi>x</mi><mo>*</mo></msup></math> müssen die partiellen Ableitungen der Lagrange-Funktion gleich Null gesetzt werden:</b><ul><li><math><msub><mo>∇</mo><mi>x</mi></msub><mi>L</mi><mo>=</mo><mn>0</mn><mo>⇒</mo><mo>∇</mo><mi>f</mi><mo>(</mo><msup><mi>x</mi><mo>*</mo></msup><mo>)</mo><mo>=</mo><mi>λ</mi><mo>∇</mo><mi>g</mi><mo>(</mo><msup><mi>x</mi><mo>*</mo></msup><mo>)</mo></math></li><li><math><msub><mo>∇</mo><mi>λ</mi></msub><mi>L</mi><mo>=</mo><mn>0</mn><mo>⇒</mo><mi>g</mi><mo>(</mo><msup><mi>x</mi><mo>*</mo></msup><mo>)</mo><mo>=</mo><mn>0</mn></math></li></ul><b>Interpretation:</b><ul><li>Die Gradienten von <math><mi>f</mi></math> und <math><mi>g</mi></math> sind am Extrempunkt <math><msup><mi>x</mi><mo>*</mo></msup></math> <b>parallel</b>.</li><li>Die Nebenbedingung <math><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn></math> muss erfüllt sein.</li></ul>|course:math-optimization-001 material:optimization-lecture-03 page:7 Lagrange-Multiplikatoren
Lagrange-Funktion bei mehreren Nebenbedingungen (Lagrange-Multiplikatoren)|<b>Bei mehreren Nebenbedingungen <math><msub><mi>g</mi><mi>i</mi></msub><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn></math> für <math><mi>i</mi><mo>=</mo><mn>1</mn><mo>,</mo><mo>.</mo><mo>.</mo><mo>.</mo><mo>,</mo><mi>m</mi></math> wird die Lagrange-Funktion erweitert:</b><ul><li><math><mi>L</mi><mo>(</mo><mi>x</mi><mo>,</mo><mi>λ</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>-</mo><munderover><mo>∑</mo><mrow><mi>i</mi><mo>=</mo><mn>1</mn></mrow><mi>m</mi></munderover><msub><mi>λ</mi><mi>i</mi></msub><msub><mi>g</mi><mi>i</mi></msub><mo>(</mo><mi>x</mi><mo>)</mo></math></li></ul>Für jede Nebenbedingung gibt es einen eigenen Lagrange-Multiplikator <math><msub><mi>λ</mi><mi>i</mi></msub></math>.|course:math-optimization-001 material:optimization-lecture-03 page:7 Lagrange-Multiplikatoren
